history_id,customer_id,product_id,viewed_at
21,6,3,2025-06-02T21:27:51.981292
22,6,3,2025-06-01T23:26:11.463072
23,8,10,2025-06-02T17:10:32.297296
24,2,5,2025-06-01T09:53:12.287299
25,4,2,2025-06-02T22:54:38.880922
26,3,10,2025-06-03T21:45:48.918896
27,7,7,2025-06-03T19:59:09.772148
28,6,1,2025-06-01T10:06:29.186590
29,1,2,2025-06-01T13:31:32.504691
30,2,4,2025-06-03T20:57:23.889253
31,7,3,2025-06-02T06:04:06.987272
32,1,7,2025-06-03T14:19:19.127600
33,6,2,2025-06-02T04:04:37.467867
34,7,8,2025-06-01T14:56:46.852399
35,10,7,2025-06-01T06:59:32.393148
36,10,9,2025-06-01T17:32:00.697243
37,8,5,2025-06-03T07:45:17.635450
38,9,1,2025-06-03T03:05:35.214421
39,8,6,2025-06-04T09:34:07.050953
40,10,3,2025-06-03T10:31:07.826952
