order_item_id,order_id,product_id,quantity,price
1,1,2,1,904.28
2,1,2,1,904.28
3,1,4,3,334.3
4,2,1,2,414.02
5,2,3,2,477.26
6,3,4,2,334.3
7,3,5,2,466.97
8,4,1,1,414.02
9,4,3,3,477.26
10,4,5,3,466.97
11,4,5,1,466.97
12,5,3,3,477.26
13,5,1,2,414.02
14,5,1,2,414.02
15,5,4,1,334.3
16,6,5,1,466.97
17,7,2,2,904.28
18,7,5,2,466.97
19,7,1,3,414.02
20,8,3,1,477.26
21,8,2,1,904.28
22,8,4,2,334.3
23,8,3,1,477.26
24,9,3,3,477.26
25,9,1,2,414.02
26,9,4,2,334.3
27,10,3,1,477.26
28,10,2,1,904.28
29,11,3,3,477.26
30,11,3,1,477.26
31,12,3,2,477.26
32,12,4,3,334.3
33,13,4,1,334.3
34,14,4,2,334.3
35,14,3,1,477.26
36,15,5,2,466.97
37,15,2,3,904.28
38,15,1,3,414.02
