review_id,customer_id,product_id,rating,comment,review_date
11,2,9,2,Also poor style type.,2025-06-04T14:01:45.194568
12,2,1,5,Type opportunity however way music.,2025-06-04T14:01:45.194605
13,7,6,5,Ask your outside piece.,2025-06-04T14:01:45.194629
14,8,5,4,Control task back strong executive window suggest begin.,2025-06-04T14:01:45.194652
15,2,9,2,Investment expert artist figure.,2025-06-04T14:01:45.194671
16,6,8,2,Lawyer white year mouth wind imagine.,2025-06-04T14:01:45.194692
17,2,2,2,Address total management stay and to participant.,2025-06-04T14:01:45.194712
18,3,3,2,Cause difference hot involve history.,2025-06-04T14:01:45.194732
19,2,9,5,Marriage every as ahead expect.,2025-06-04T14:01:45.194751
20,1,4,4,Particularly agent material generation husband.,2025-06-04T14:01:45.194771
