history_id,customer_id,product_id,viewed_at
31,17,25,2025-05-18T14:42:45.289849
32,16,25,2025-05-18T14:42:45.289859
33,16,39,2025-05-18T14:42:45.289862
34,12,37,2025-05-18T14:42:45.289865
35,15,30,2025-05-18T14:42:45.289867
36,16,40,2025-05-18T14:42:45.289869
37,13,28,2025-05-18T14:42:45.289871
38,19,22,2025-05-18T14:42:45.289874
39,14,21,2025-05-18T14:42:45.289876
40,15,32,2025-05-18T14:42:45.289878
41,20,29,2025-05-18T14:42:45.289881
42,13,25,2025-05-18T14:42:45.289883
43,14,26,2025-05-18T14:42:45.289885
44,15,34,2025-05-18T14:42:45.289887
45,20,31,2025-05-18T14:42:45.289889
46,11,34,2025-05-18T14:42:45.289891
47,13,30,2025-05-18T14:42:45.289893
48,19,33,2025-05-18T14:42:45.289895
49,12,37,2025-05-18T14:42:45.289897
50,14,27,2025-05-18T14:42:45.289899
51,11,22,2025-05-18T14:42:45.289901
52,20,26,2025-05-18T14:42:45.289903
53,14,22,2025-05-18T14:42:45.289905
54,20,21,2025-05-18T14:42:45.289907
55,19,24,2025-05-18T14:42:45.289909
56,19,22,2025-05-18T14:42:45.289912
57,12,34,2025-05-18T14:42:45.289914
58,18,25,2025-05-18T14:42:45.289916
59,16,35,2025-05-18T14:42:45.289918
60,13,32,2025-05-18T14:42:45.289920
