history_id,customer_id,product_id,viewed_at
1,245,1366,2023-08-06 00:00:00
2,901,639,2023-11-12 00:00:00
3,710,610,2023-08-17 00:00:00
4,601,164,2023-08-19 00:00:00
5,44,725,2023-11-29 00:00:00
6,2,1124,2023-12-25 00:00:00
7,609,41,2023-06-18 00:00:00
8,492,1025,2023-10-19 00:00:00
9,560,278,2023-12-09 00:00:00
10,916,1010,2023-11-14 00:00:00
11,555,762,2023-10-02 00:00:00
12,146,842,2023-12-19 00:00:00
13,884,13,2023-01-17 00:00:00
14,734,308,2023-02-08 00:00:00
15,754,949,2023-12-19 00:00:00
16,887,1242,2023-01-01 00:00:00
17,31,345,2023-12-01 00:00:00
18,257,450,2023-10-08 00:00:00
19,965,131,2023-01-01 00:00:00
20,14,22,2023-11-03 00:00:00
21,597,564,2023-10-19 00:00:00
22,185,916,2023-09-25 00:00:00
23,463,255,2023-05-23 00:00:00
24,171,1185,2023-09-02 00:00:00
25,68,1296,2023-06-23 00:00:00
26,695,21,2023-07-10 00:00:00
27,628,660,2023-10-23 00:00:00
28,561,550,2023-11-23 00:00:00
29,85,1202,2023-02-21 00:00:00
30,864,659,2023-10-16 00:00:00
31,271,766,2023-02-23 00:00:00
32,951,762,2023-09-05 00:00:00
33,470,788,2023-12-24 00:00:00
34,352,1161,2023-04-06 00:00:00
35,684,910,2023-11-24 00:00:00
36,29,993,2023-10-24 00:00:00
37,464,891,2023-05-08 00:00:00
38,826,1350,2023-07-28 00:00:00
39,845,417,2023-09-05 00:00:00
40,127,1221,2023-08-31 00:00:00
41,429,216,2023-11-05 00:00:00
42,432,942,2023-08-29 00:00:00
43,640,554,2023-12-04 00:00:00
44,477,714,2023-01-09 00:00:00
45,544,668,2023-09-24 00:00:00
46,103,873,2023-06-23 00:00:00
47,742,436,2023-12-12 00:00:00
48,362,354,2023-07-30 00:00:00
49,930,136,2023-07-27 00:00:00
50,112,1236,2023-12-24 00:00:00
51,530,1232,2023-02-20 00:00:00
52,688,973,2023-10-29 00:00:00
53,136,931,2023-10-26 00:00:00
54,501,818,2023-11-05 00:00:00
55,103,1177,2023-07-09 00:00:00
56,876,873,2023-11-25 00:00:00
57,145,765,2023-11-25 00:00:00
58,690,460,2023-12-14 00:00:00
59,795,313,2023-12-30 00:00:00
60,801,203,2023-10-20 00:00:00
61,150,158,2023-12-05 00:00:00
62,807,925,2023-01-01 00:00:00
63,282,1168,2023-04-25 00:00:00
64,518,1030,2023-07-18 00:00:00
65,299,694,2023-07-21 00:00:00
66,442,648,2023-12-13 00:00:00
67,450,505,2023-04-03 00:00:00
68,636,735,2023-08-27 00:00:00
69,129,677,2023-11-26 00:00:00
70,459,1074,2023-03-11 00:00:00
71,714,1256,2023-07-28 00:00:00
72,995,1072,2023-10-29 00:00:00
73,751,564,2023-05-09 00:00:00
74,177,5,2023-10-08 00:00:00
75,76,1017,2023-10-03 00:00:00
76,818,1191,2023-12-22 00:00:00
77,38,946,2023-09-14 00:00:00
78,35,604,2023-08-14 00:00:00
79,265,207,2023-02-21 00:00:00
80,143,611,2023-10-10 00:00:00
81,767,630,2023-08-11 00:00:00
82,390,523,2023-04-11 00:00:00
83,95,214,2023-12-10 00:00:00
84,544,286,2023-10-05 00:00:00
85,790,642,2023-12-13 00:00:00
86,629,884,2023-10-27 00:00:00
87,959,924,2023-01-16 00:00:00
88,845,499,2023-07-19 00:00:00
89,818,1172,2023-06-03 00:00:00
90,37,520,2023-09-05 00:00:00
91,583,834,2023-09-30 00:00:00
92,883,841,2023-09-24 00:00:00
93,724,677,2023-07-13 00:00:00
94,698,864,2023-06-25 00:00:00
95,482,205,2023-12-16 00:00:00
96,487,670,2023-02-22 00:00:00
97,123,1366,2023-08-28 00:00:00
98,862,1363,2023-09-26 00:00:00
99,229,1274,2023-09-29 00:00:00
100,101,455,2023-12-30 00:00:00
101,266,288,2023-10-16 00:00:00
102,735,443,2023-12-02 00:00:00
103,521,873,2023-01-01 00:00:00
104,846,325,2023-12-05 00:00:00
105,329,643,2023-04-26 00:00:00
106,820,322,2023-11-05 00:00:00
107,355,1196,2023-10-16 00:00:00
108,202,1209,2023-07-31 00:00:00
109,530,1150,2023-12-10 00:00:00
110,957,395,2023-01-01 00:00:00
111,362,608,2023-12-05 00:00:00
112,521,730,2023-10-19 00:00:00
113,564,1132,2023-12-22 00:00:00
114,823,1020,2023-10-01 00:00:00
115,171,1381,2023-01-01 00:00:00
116,43,1320,2023-07-27 00:00:00
117,87,368,2023-09-19 00:00:00
118,711,616,2023-12-05 00:00:00
119,966,121,2023-11-26 00:00:00
120,378,712,2023-11-23 00:00:00
121,484,418,2023-11-10 00:00:00
122,769,94,2023-12-01 00:00:00
123,806,326,2023-11-16 00:00:00
124,398,136,2023-07-08 00:00:00
125,904,628,2023-11-27 00:00:00
126,962,1228,2023-10-11 00:00:00
127,871,373,2023-03-06 00:00:00
128,406,859,2023-04-16 00:00:00
129,571,670,2023-12-01 00:00:00
130,985,934,2023-02-28 00:00:00
131,789,868,2023-06-15 00:00:00
132,906,636,2023-12-06 00:00:00
133,3,899,2023-04-20 00:00:00
134,165,1281,2023-02-17 00:00:00
135,362,1388,2023-10-31 00:00:00
136,705,1029,2023-06-25 00:00:00
137,543,560,2023-01-26 00:00:00
138,549,754,2023-12-25 00:00:00
139,689,1258,2023-04-08 00:00:00
140,948,206,2023-09-19 00:00:00
141,427,611,2023-03-25 00:00:00
142,864,628,2023-12-20 00:00:00
143,32,451,2023-08-18 00:00:00
144,190,546,2023-08-19 00:00:00
145,39,3,2023-10-21 00:00:00
146,739,153,2023-05-13 00:00:00
147,23,1221,2023-04-26 00:00:00
148,278,1234,2023-12-08 00:00:00
149,823,1271,2023-12-13 00:00:00
150,990,827,2023-12-02 00:00:00
151,165,431,2023-10-06 00:00:00
152,3,685,2023-09-20 00:00:00
153,908,13,2023-11-12 00:00:00
154,288,351,2023-11-16 00:00:00
155,722,1008,2023-12-13 00:00:00
156,430,898,2023-05-12 00:00:00
157,354,100,2023-08-21 00:00:00
158,941,611,2023-12-25 00:00:00
159,222,165,2023-07-18 00:00:00
160,919,318,2023-06-13 00:00:00
161,496,735,2023-11-15 00:00:00
162,364,337,2023-10-16 00:00:00
163,820,148,2023-11-11 00:00:00
164,268,65,2023-04-13 00:00:00
165,487,1163,2023-10-15 00:00:00
166,189,231,2023-05-14 00:00:00
167,873,1298,2023-11-19 00:00:00
168,693,659,2023-08-27 00:00:00
169,371,958,2023-11-17 00:00:00
170,402,1210,2023-08-19 00:00:00
171,422,189,2023-09-13 00:00:00
172,871,781,2023-12-23 00:00:00
173,723,1134,2023-11-17 00:00:00
174,625,972,2023-08-29 00:00:00
175,286,701,2023-12-25 00:00:00
176,931,925,2023-12-22 00:00:00
177,769,656,2023-10-23 00:00:00
178,86,1273,2023-08-28 00:00:00
179,712,916,2023-09-11 00:00:00
180,663,970,2023-01-01 00:00:00
181,333,468,2023-07-06 00:00:00
182,743,100,2023-09-23 00:00:00
183,193,11,2023-11-26 00:00:00
184,544,1233,2023-11-29 00:00:00
185,425,137,2023-09-04 00:00:00
186,712,1190,2023-10-08 00:00:00
187,206,934,2023-10-09 00:00:00
188,326,1010,2023-12-14 00:00:00
189,224,1282,2023-08-30 00:00:00
190,193,529,2023-06-26 00:00:00
191,944,679,2023-10-07 00:00:00
192,402,1128,2023-10-12 00:00:00
193,413,859,2023-12-19 00:00:00
194,716,149,2023-04-13 00:00:00
195,815,144,2023-01-01 00:00:00
196,492,497,2023-12-13 00:00:00
197,585,694,2023-12-24 00:00:00
198,287,1190,2023-01-01 00:00:00
199,227,636,2023-08-24 00:00:00
200,498,384,2023-12-20 00:00:00
201,44,758,2023-11-14 00:00:00
202,193,394,2023-04-28 00:00:00
203,902,361,2023-11-08 00:00:00
204,625,590,2023-12-15 00:00:00
205,140,488,2023-07-29 00:00:00
206,825,1364,2023-11-29 00:00:00
207,330,1002,2023-10-07 00:00:00
208,126,1216,2023-11-23 00:00:00
209,338,740,2023-10-15 00:00:00
210,693,923,2023-08-24 00:00:00
211,587,217,2023-11-10 00:00:00
212,11,659,2023-09-27 00:00:00
213,425,931,2023-07-21 00:00:00
214,985,127,2023-12-02 00:00:00
215,351,381,2023-01-01 00:00:00
216,161,1224,2023-08-31 00:00:00
217,640,938,2023-08-30 00:00:00
218,936,662,2023-11-26 00:00:00
219,418,441,2023-12-15 00:00:00
220,541,1298,2023-07-24 00:00:00
221,532,119,2023-12-27 00:00:00
222,184,512,2023-01-01 00:00:00
223,840,846,2023-11-29 00:00:00
224,35,510,2023-12-17 00:00:00
225,79,403,2023-06-25 00:00:00
226,166,697,2023-12-10 00:00:00
227,741,725,2023-12-17 00:00:00
228,372,135,2023-10-13 00:00:00
229,19,425,2023-01-01 00:00:00
230,539,522,2023-08-16 00:00:00
231,276,1064,2023-08-17 00:00:00
232,611,1280,2023-12-20 00:00:00
233,445,325,2023-11-15 00:00:00
234,841,310,2023-11-16 00:00:00
235,833,946,2023-11-13 00:00:00
236,465,1177,2023-12-25 00:00:00
237,596,604,2023-11-12 00:00:00
238,218,1387,2023-08-02 00:00:00
239,683,910,2023-01-01 00:00:00
240,918,699,2023-10-16 00:00:00
241,981,1217,2023-09-13 00:00:00
242,751,1346,2023-09-27 00:00:00
243,907,299,2023-10-26 00:00:00
244,297,1095,2023-07-07 00:00:00
245,207,1180,2023-06-03 00:00:00
246,128,204,2023-10-27 00:00:00
247,847,447,2023-05-15 00:00:00
248,167,992,2023-11-19 00:00:00
249,509,175,2023-11-12 00:00:00
250,949,7,2023-12-26 00:00:00
251,558,322,2023-09-18 00:00:00
252,594,121,2023-11-07 00:00:00
253,823,1340,2023-12-07 00:00:00
254,122,1086,2023-12-31 00:00:00
255,889,54,2023-08-23 00:00:00
256,1,246,2023-10-13 00:00:00
257,761,646,2023-03-01 00:00:00
258,23,611,2023-07-03 00:00:00
259,473,424,2023-06-29 00:00:00
260,292,175,2023-09-10 00:00:00
261,185,821,2023-12-04 00:00:00
262,365,1307,2023-01-01 00:00:00
263,201,1143,2023-08-15 00:00:00
264,585,376,2023-08-01 00:00:00
265,588,900,2023-11-02 00:00:00
266,779,19,2023-11-29 00:00:00
267,600,992,2023-10-06 00:00:00
268,497,396,2023-10-18 00:00:00
269,496,897,2023-08-13 00:00:00
270,308,947,2023-01-01 00:00:00
271,313,345,2023-11-19 00:00:00
272,301,673,2023-12-31 00:00:00
273,942,821,2023-12-16 00:00:00
274,18,841,2023-12-20 00:00:00
275,906,113,2023-12-01 00:00:00
276,178,1249,2023-09-18 00:00:00
277,985,7,2023-04-03 00:00:00
278,630,458,2023-11-15 00:00:00
279,955,1188,2023-12-23 00:00:00
280,449,1350,2023-09-15 00:00:00
281,92,824,2023-06-17 00:00:00
282,969,66,2023-08-13 00:00:00
283,904,536,2023-09-04 00:00:00
284,938,296,2023-12-06 00:00:00
285,636,716,2023-09-15 00:00:00
286,514,1260,2023-11-28 00:00:00
287,764,1249,2023-09-08 00:00:00
288,207,211,2023-10-16 00:00:00
289,169,959,2023-11-11 00:00:00
290,106,660,2023-12-01 00:00:00
291,592,593,2023-12-18 00:00:00
292,498,594,2023-08-30 00:00:00
293,594,903,2023-10-03 00:00:00
294,671,573,2023-01-01 00:00:00
295,356,118,2023-06-06 00:00:00
296,582,1005,2023-11-10 00:00:00
297,551,1252,2023-07-28 00:00:00
298,118,1175,2023-12-06 00:00:00
299,438,26,2023-12-23 00:00:00
300,322,693,2023-12-30 00:00:00
301,516,491,2023-10-25 00:00:00
302,51,749,2023-07-02 00:00:00
303,890,778,2023-04-14 00:00:00
304,343,789,2023-08-15 00:00:00
305,900,1113,2023-01-01 00:00:00
306,176,1327,2023-01-01 00:00:00
307,741,807,2023-10-29 00:00:00
308,38,1172,2023-10-18 00:00:00
309,715,386,2023-12-16 00:00:00
310,760,436,2023-06-18 00:00:00
311,439,386,2023-09-14 00:00:00
312,140,189,2023-11-03 00:00:00
313,507,1056,2023-09-04 00:00:00
314,166,952,2023-12-23 00:00:00
315,479,841,2023-04-03 00:00:00
316,369,91,2023-06-21 00:00:00
317,195,490,2023-12-16 00:00:00
318,943,977,2023-12-03 00:00:00
319,465,771,2023-12-11 00:00:00
320,134,357,2023-11-16 00:00:00
321,875,831,2023-12-30 00:00:00
322,882,996,2023-08-17 00:00:00
323,558,540,2023-07-14 00:00:00
324,247,120,2023-12-15 00:00:00
