history_id,customer_id,product_id,viewed_at
1,499,225,2023-12-27 00:00:00
2,550,808,2023-12-29 00:00:00
3,790,1020,2023-10-11 00:00:00
4,415,1080,2023-12-22 00:00:00
5,452,324,2023-03-17 00:00:00
6,624,336,2023-08-14 00:00:00
7,532,128,2023-10-05 00:00:00
8,545,1154,2023-09-29 00:00:00
9,202,476,2023-05-09 00:00:00
10,681,655,2023-11-20 00:00:00
11,272,936,2023-11-12 00:00:00
12,597,798,2023-12-26 00:00:00
13,743,940,2023-01-01 00:00:00
14,839,156,2023-08-04 00:00:00
15,804,1028,2023-03-28 00:00:00
16,754,578,2023-08-24 00:00:00
17,652,377,2023-02-06 00:00:00
18,114,417,2023-12-29 00:00:00
19,684,549,2023-12-04 00:00:00
20,425,1041,2023-12-12 00:00:00
21,627,972,2023-12-11 00:00:00
22,408,395,2023-07-01 00:00:00
23,538,491,2023-01-01 00:00:00
24,371,1116,2023-12-09 00:00:00
25,8,263,2023-12-17 00:00:00
26,896,122,2023-07-25 00:00:00
27,710,350,2023-08-22 00:00:00
28,251,1172,2023-01-01 00:00:00
29,462,910,2023-11-07 00:00:00
30,907,108,2023-12-30 00:00:00
31,84,765,2023-06-18 00:00:00
32,637,428,2023-12-16 00:00:00
33,950,899,2023-07-26 00:00:00
34,370,245,2023-10-05 00:00:00
35,431,168,2023-01-01 00:00:00
36,466,1025,2023-05-31 00:00:00
37,532,1175,2023-06-09 00:00:00
38,927,884,2023-06-14 00:00:00
39,576,868,2023-11-24 00:00:00
40,316,482,2023-12-12 00:00:00
41,403,583,2023-11-11 00:00:00
42,343,1059,2023-09-25 00:00:00
43,760,334,2023-09-20 00:00:00
44,888,862,2023-09-26 00:00:00
45,326,841,2023-11-18 00:00:00
46,387,664,2023-11-27 00:00:00
47,629,781,2023-06-26 00:00:00
48,822,569,2023-09-03 00:00:00
49,384,375,2023-12-16 00:00:00
50,552,451,2023-09-27 00:00:00
51,22,454,2023-09-18 00:00:00
52,587,1081,2023-01-01 00:00:00
53,713,697,2023-12-10 00:00:00
54,806,381,2023-10-04 00:00:00
55,876,440,2023-12-22 00:00:00
56,272,475,2023-03-05 00:00:00
57,366,745,2023-11-17 00:00:00
58,504,585,2023-11-17 00:00:00
59,421,379,2023-12-10 00:00:00
60,935,425,2023-12-28 00:00:00
61,333,788,2023-12-24 00:00:00
62,376,186,2023-10-26 00:00:00
63,478,558,2023-12-25 00:00:00
64,541,503,2023-12-15 00:00:00
65,654,421,2023-08-24 00:00:00
66,564,938,2023-01-01 00:00:00
67,509,182,2023-12-23 00:00:00
68,215,975,2023-12-03 00:00:00
69,872,986,2023-12-03 00:00:00
70,385,414,2023-08-07 00:00:00
71,310,144,2023-12-26 00:00:00
72,789,1052,2023-12-21 00:00:00
73,380,754,2023-05-04 00:00:00
74,385,215,2023-12-28 00:00:00
75,209,594,2023-01-01 00:00:00
76,183,314,2023-12-19 00:00:00
77,667,738,2023-10-22 00:00:00
78,275,131,2023-12-14 00:00:00
79,848,556,2023-12-15 00:00:00
80,828,424,2023-07-25 00:00:00
81,528,690,2023-12-25 00:00:00
82,901,997,2023-09-23 00:00:00
83,124,199,2023-01-01 00:00:00
84,785,989,2023-05-20 00:00:00
85,839,887,2023-01-30 00:00:00
86,513,52,2023-07-25 00:00:00
87,727,280,2023-08-14 00:00:00
88,196,546,2023-09-28 00:00:00
89,255,374,2023-10-12 00:00:00
90,341,98,2023-10-05 00:00:00
91,170,911,2023-12-02 00:00:00
92,910,883,2023-07-19 00:00:00
93,454,798,2023-01-01 00:00:00
94,69,972,2023-06-25 00:00:00
95,44,9,2023-12-26 00:00:00
96,786,180,2023-12-03 00:00:00
97,74,676,2023-11-25 00:00:00
98,669,196,2023-11-02 00:00:00
99,278,486,2023-07-12 00:00:00
100,152,806,2023-07-11 00:00:00
101,808,982,2023-12-08 00:00:00
102,860,522,2023-10-06 00:00:00
103,244,869,2023-11-02 00:00:00
104,653,968,2023-06-06 00:00:00
105,17,20,2023-01-01 00:00:00
106,104,759,2023-06-25 00:00:00
107,41,277,2023-12-23 00:00:00
108,695,182,2023-02-25 00:00:00
109,166,1087,2023-11-13 00:00:00
110,371,538,2023-10-05 00:00:00
111,932,43,2023-12-06 00:00:00
112,300,904,2023-12-31 00:00:00
113,696,603,2023-12-10 00:00:00
114,674,89,2023-10-05 00:00:00
115,144,268,2023-07-26 00:00:00
116,82,973,2023-09-20 00:00:00
117,352,1119,2023-10-30 00:00:00
118,717,241,2023-12-02 00:00:00
119,452,1013,2023-12-26 00:00:00
120,594,1050,2023-11-12 00:00:00
121,180,926,2023-07-03 00:00:00
122,585,303,2023-08-06 00:00:00
123,366,723,2023-12-19 00:00:00
124,228,283,2023-12-20 00:00:00
125,537,125,2023-11-30 00:00:00
126,295,1117,2023-04-24 00:00:00
127,155,1116,2023-12-04 00:00:00
128,702,1030,2023-08-05 00:00:00
129,637,791,2023-08-30 00:00:00
130,63,1068,2023-03-27 00:00:00
131,395,1055,2023-05-24 00:00:00
132,176,145,2023-11-24 00:00:00
133,939,626,2023-09-11 00:00:00
134,908,500,2023-11-23 00:00:00
135,835,1,2023-09-19 00:00:00
136,261,266,2023-08-31 00:00:00
137,336,397,2023-11-13 00:00:00
138,214,1157,2023-11-11 00:00:00
139,640,489,2023-09-23 00:00:00
140,728,150,2023-03-17 00:00:00
141,242,899,2023-01-01 00:00:00
142,173,906,2023-11-18 00:00:00
143,249,1071,2023-06-29 00:00:00
144,126,22,2023-10-11 00:00:00
145,679,865,2023-12-21 00:00:00
146,359,171,2023-12-09 00:00:00
147,306,1067,2023-11-07 00:00:00
148,892,32,2023-10-18 00:00:00
149,127,123,2023-02-24 00:00:00
150,521,107,2023-08-16 00:00:00
151,616,14,2023-08-14 00:00:00
152,936,640,2023-12-19 00:00:00
153,566,652,2023-12-06 00:00:00
154,56,513,2023-09-03 00:00:00
155,160,715,2023-07-28 00:00:00
156,394,308,2023-12-07 00:00:00
157,808,611,2023-12-20 00:00:00
158,67,847,2023-11-26 00:00:00
159,798,247,2023-12-08 00:00:00
160,743,1125,2023-10-29 00:00:00
161,229,1089,2023-09-22 00:00:00
162,946,794,2023-12-24 00:00:00
163,251,950,2023-12-12 00:00:00
164,497,299,2023-07-19 00:00:00
165,589,1036,2023-08-16 00:00:00
166,472,12,2023-09-13 00:00:00
167,623,911,2023-07-10 00:00:00
168,482,92,2023-11-24 00:00:00
169,47,598,2023-10-27 00:00:00
170,337,608,2023-12-13 00:00:00
171,550,228,2023-12-06 00:00:00
172,787,26,2023-04-18 00:00:00
173,85,376,2023-07-15 00:00:00
174,844,736,2023-09-23 00:00:00
175,73,257,2023-07-29 00:00:00
176,787,811,2023-01-01 00:00:00
177,52,515,2023-12-04 00:00:00
178,684,665,2023-10-23 00:00:00
179,135,42,2023-12-07 00:00:00
180,801,259,2023-01-01 00:00:00
181,515,708,2023-12-08 00:00:00
182,659,371,2023-12-06 00:00:00
183,155,443,2023-10-26 00:00:00
184,382,890,2023-09-21 00:00:00
185,304,1118,2023-07-21 00:00:00
186,261,747,2023-06-19 00:00:00
187,464,181,2023-11-01 00:00:00
188,958,262,2023-08-13 00:00:00
189,238,624,2023-08-11 00:00:00
190,113,563,2023-12-29 00:00:00
191,625,432,2023-10-27 00:00:00
192,667,428,2023-11-09 00:00:00
193,688,656,2023-11-16 00:00:00
194,193,508,2023-11-19 00:00:00
195,543,1129,2023-08-02 00:00:00
196,676,1130,2023-07-30 00:00:00
197,372,289,2023-12-06 00:00:00
198,596,108,2023-05-03 00:00:00
199,463,291,2023-11-16 00:00:00
200,957,177,2023-10-22 00:00:00
201,614,1174,2023-10-23 00:00:00
202,367,562,2023-01-01 00:00:00
203,899,311,2023-12-21 00:00:00
204,265,123,2023-06-20 00:00:00
205,431,824,2023-02-08 00:00:00
206,947,362,2023-08-29 00:00:00
207,928,189,2023-10-23 00:00:00
208,183,1121,2023-07-12 00:00:00
209,631,375,2023-10-11 00:00:00
210,104,705,2023-05-09 00:00:00
211,950,308,2023-05-10 00:00:00
212,682,444,2023-07-22 00:00:00
213,16,877,2023-10-31 00:00:00
214,237,924,2023-03-05 00:00:00
215,29,792,2023-07-21 00:00:00
216,328,78,2023-10-01 00:00:00
217,467,1096,2023-12-31 00:00:00
218,178,819,2023-07-16 00:00:00
219,778,666,2023-01-01 00:00:00
220,310,927,2023-12-30 00:00:00
221,442,85,2023-12-10 00:00:00
222,158,1170,2023-07-22 00:00:00
223,8,849,2023-01-01 00:00:00
224,332,602,2023-10-26 00:00:00
225,925,188,2023-08-11 00:00:00
226,670,262,2023-12-08 00:00:00
227,99,837,2023-10-01 00:00:00
228,587,988,2023-12-04 00:00:00
229,782,148,2023-04-03 00:00:00
230,258,1014,2023-11-27 00:00:00
231,698,733,2023-11-04 00:00:00
232,701,132,2023-10-08 00:00:00
233,215,1024,2023-11-08 00:00:00
234,690,149,2023-11-15 00:00:00
235,452,745,2023-10-02 00:00:00
236,103,232,2023-12-01 00:00:00
237,225,254,2023-11-20 00:00:00
238,626,1100,2023-11-19 00:00:00
239,105,887,2023-11-09 00:00:00
240,880,501,2023-08-06 00:00:00
241,965,926,2023-12-01 00:00:00
242,968,21,2023-10-22 00:00:00
243,542,683,2023-06-30 00:00:00
244,739,980,2023-12-08 00:00:00
245,601,142,2023-11-22 00:00:00
246,693,115,2023-08-01 00:00:00
247,939,711,2023-01-01 00:00:00
248,717,135,2023-10-14 00:00:00
249,948,226,2023-09-09 00:00:00
250,106,426,2023-02-07 00:00:00
251,959,925,2023-12-02 00:00:00
252,754,565,2023-12-06 00:00:00
253,2,357,2023-11-03 00:00:00
254,460,503,2023-10-22 00:00:00
255,425,525,2023-12-02 00:00:00
256,273,760,2023-09-03 00:00:00
257,34,308,2023-12-17 00:00:00
258,338,161,2023-10-05 00:00:00
259,558,1051,2023-08-07 00:00:00
260,530,1037,2023-12-03 00:00:00
261,543,483,2023-11-15 00:00:00
262,245,158,2023-11-12 00:00:00
263,558,205,2023-05-13 00:00:00
264,819,674,2023-11-26 00:00:00
265,299,809,2023-11-13 00:00:00
266,937,401,2023-01-01 00:00:00
267,790,543,2023-02-09 00:00:00
268,140,881,2023-06-07 00:00:00
269,726,1020,2023-11-30 00:00:00
270,514,521,2023-11-28 00:00:00
271,239,361,2023-11-19 00:00:00
272,568,88,2023-01-22 00:00:00
273,434,647,2023-08-31 00:00:00
274,391,1118,2023-07-15 00:00:00
275,756,292,2023-11-07 00:00:00
276,315,658,2023-03-24 00:00:00
277,664,230,2023-03-29 00:00:00
278,470,1012,2023-08-13 00:00:00
279,605,841,2023-12-13 00:00:00
280,69,630,2023-10-27 00:00:00
281,766,837,2023-10-23 00:00:00
282,393,20,2023-12-09 00:00:00
283,887,82,2023-11-02 00:00:00
284,62,1059,2023-01-28 00:00:00
285,874,385,2023-11-19 00:00:00
286,360,756,2023-10-16 00:00:00
287,892,618,2023-02-16 00:00:00
288,679,533,2023-12-08 00:00:00
289,344,802,2023-12-08 00:00:00
290,748,834,2023-11-06 00:00:00
291,782,985,2023-05-22 00:00:00
292,866,81,2023-07-01 00:00:00
293,852,432,2023-05-02 00:00:00
294,347,549,2023-12-20 00:00:00
295,853,281,2023-11-06 00:00:00
296,701,613,2023-12-24 00:00:00
297,634,770,2023-07-13 00:00:00
298,601,399,2023-12-10 00:00:00
299,440,741,2023-05-27 00:00:00
300,159,533,2023-12-09 00:00:00
301,225,169,2023-11-20 00:00:00
302,687,660,2023-08-20 00:00:00
303,245,195,2023-12-14 00:00:00
304,39,64,2023-09-29 00:00:00
305,548,514,2023-12-16 00:00:00
306,454,1030,2023-08-23 00:00:00
307,141,939,2023-10-26 00:00:00
308,582,20,2023-03-20 00:00:00
309,229,39,2023-01-01 00:00:00
310,449,1171,2023-11-15 00:00:00
311,941,742,2023-07-04 00:00:00
312,489,841,2023-12-05 00:00:00
313,306,493,2023-09-17 00:00:00
314,309,191,2023-10-18 00:00:00
315,846,747,2023-12-03 00:00:00
316,710,697,2023-12-19 00:00:00
317,896,1081,2023-03-05 00:00:00
318,452,55,2023-06-03 00:00:00
319,758,330,2023-10-01 00:00:00
320,410,47,2023-08-22 00:00:00
321,287,102,2023-09-13 00:00:00
322,327,1084,2023-12-13 00:00:00
323,27,1089,2023-12-31 00:00:00
324,31,1103,2023-11-02 00:00:00
325,338,296,2023-11-27 00:00:00
326,606,26,2023-09-26 00:00:00
327,759,321,2023-11-22 00:00:00
328,416,99,2023-08-06 00:00:00
329,30,1136,2023-06-01 00:00:00
330,791,435,2023-11-02 00:00:00
331,348,201,2023-01-01 00:00:00
332,617,1096,2023-12-06 00:00:00
333,811,1174,2023-05-10 00:00:00
334,262,404,2023-07-27 00:00:00
335,35,1000,2023-07-26 00:00:00
336,966,132,2023-11-27 00:00:00
337,139,597,2023-03-06 00:00:00
338,939,787,2023-08-21 00:00:00
339,551,1009,2023-10-01 00:00:00
340,907,683,2023-11-29 00:00:00
341,342,1167,2023-03-07 00:00:00
342,261,60,2023-12-30 00:00:00
343,837,1053,2023-12-11 00:00:00
344,858,176,2023-01-01 00:00:00
345,515,157,2023-12-26 00:00:00
346,749,534,2023-09-23 00:00:00
347,35,968,2023-06-29 00:00:00
348,856,137,2023-09-08 00:00:00
349,866,911,2023-02-19 00:00:00
350,848,1115,2023-03-12 00:00:00
351,723,802,2023-01-01 00:00:00
352,181,410,2023-02-17 00:00:00
353,423,846,2023-11-06 00:00:00
354,832,1106,2023-12-04 00:00:00
355,698,734,2023-06-17 00:00:00
356,34,891,2023-11-04 00:00:00
357,502,921,2023-11-04 00:00:00
358,382,828,2023-12-02 00:00:00
359,827,969,2023-12-25 00:00:00
360,935,172,2023-08-06 00:00:00
361,509,1170,2023-07-08 00:00:00
362,278,871,2023-12-15 00:00:00
363,441,581,2023-06-26 00:00:00
364,128,145,2023-08-25 00:00:00
365,886,925,2023-05-14 00:00:00
366,143,1108,2023-03-31 00:00:00
367,190,205,2023-07-26 00:00:00
