cart_item_id,cart_id,product_id,quantity
1,1,1194,1
2,1,909,1
3,2,778,2
4,2,388,3
5,2,771,2
6,3,1217,3
7,3,983,2
8,3,58,2
9,4,504,2
10,4,1060,3
11,4,875,1
12,4,1277,3
13,4,926,2
14,4,1372,1
15,4,272,1
16,4,442,1
17,5,1094,3
18,5,367,1
19,5,392,2
20,6,31,1
21,6,1387,2
22,6,179,3
23,7,924,2
24,8,615,2
25,8,258,1
26,8,638,2
27,8,312,2
28,8,1072,1
29,8,1004,3
30,8,1318,1
31,8,1021,2
32,9,79,2
33,9,1051,1
34,9,1361,2
35,9,1220,2
36,9,676,1
37,9,39,2
38,9,281,1
39,9,1356,3
40,10,231,3
41,10,374,1
42,10,48,2
43,11,907,3
44,11,1341,3
45,11,915,2
46,11,491,1
47,11,423,2
48,11,564,2
49,11,1290,2
50,12,554,1
51,12,21,1
52,12,432,3
53,12,127,1
54,13,1063,1
55,13,351,3
56,13,896,1
57,13,920,2
58,13,433,2
59,13,743,1
60,14,71,1
61,14,513,1
62,14,61,3
63,14,1090,3
64,14,1264,1
65,14,919,3
66,15,650,1
67,15,1339,2
68,15,746,3
69,15,254,3
70,15,362,3
71,15,1293,3
72,16,69,1
73,16,1024,3
74,16,1275,3
75,16,883,2
76,16,332,3
77,16,544,2
78,16,1377,2
79,17,841,1
80,17,943,2
81,18,1378,3
82,18,552,2
83,18,1085,1
84,19,805,2
85,19,489,2
86,19,693,3
87,19,754,3
88,19,1017,1
89,19,506,3
90,20,494,1
91,20,688,1
92,21,707,3
93,22,1384,3
94,22,194,2
95,22,1268,2
96,23,1331,1
97,23,1331,2
98,23,556,1
99,23,557,1
100,23,876,2
101,23,561,2
102,24,916,1
103,24,418,2
104,24,949,2
105,24,541,3
106,24,107,1
107,24,863,2
108,25,891,1
109,25,1117,2
110,25,1127,3
111,25,237,1
112,25,939,2
113,25,154,2
114,26,167,2
115,27,671,1
116,27,1372,3
117,27,209,1
118,27,1001,1
119,27,515,3
120,27,243,2
121,28,1103,3
122,28,1107,2
123,28,1152,3
124,28,364,2
125,28,114,3
126,28,629,2
127,28,753,1
128,28,566,3
129,29,305,2
130,29,123,3
131,29,903,1
132,29,899,2
133,29,193,2
134,29,765,3
135,29,1279,1
136,30,849,3
137,30,298,3
138,30,998,1
139,30,892,3
140,30,628,3
141,30,515,1
142,30,1061,3
143,30,263,3
144,31,579,2
145,31,431,1
146,31,960,1
147,32,12,2
148,32,913,1
149,32,790,3
150,32,1289,1
151,32,147,3
152,33,161,2
153,33,1276,3
154,33,1145,1
155,34,739,3
156,34,1099,1
157,34,639,3
158,34,1099,1
159,34,109,1
160,34,115,2
161,34,697,1
162,34,284,2
163,35,795,2
164,35,1082,2
165,35,9,3
166,35,721,1
167,35,908,2
168,35,572,1
169,36,546,3
170,36,48,2
171,37,1191,2
172,37,423,2
173,37,384,1
174,37,755,2
175,38,879,3
176,38,469,1
177,39,285,3
178,39,660,3
179,39,668,3
180,39,279,1
181,39,1385,3
182,39,813,3
183,40,147,1
184,40,1191,1
185,40,589,2
186,40,389,3
187,40,1177,2
188,40,959,2
189,41,830,1
190,41,1133,1
191,41,301,3
192,41,639,3
193,41,1034,1
194,41,553,3
195,42,57,3
196,42,99,2
197,42,1322,2
198,42,849,3
199,42,95,3
200,42,301,1
201,42,911,2
202,42,1363,1
203,43,641,2
204,44,267,3
205,44,10,1
206,44,1126,1
207,45,668,1
208,45,946,3
209,45,417,1
210,45,942,2
211,45,394,3
212,45,456,3
213,45,1054,3
214,45,1249,1
215,46,339,2
