cart_item_id,cart_id,product_id,quantity
1,1,572,2
2,1,912,1
3,1,344,2
4,1,893,3
5,1,807,1
6,1,540,2
7,2,875,3
8,3,787,1
9,3,312,3
10,3,16,2
11,3,1118,1
12,3,221,3
13,3,425,1
14,3,484,3
15,4,783,1
16,4,669,1
17,4,379,2
18,5,788,2
19,5,426,3
20,5,487,3
21,5,237,1
22,5,686,2
23,6,37,1
24,6,192,1
25,6,1131,2
26,7,150,2
27,7,1008,3
28,7,597,2
29,8,568,3
30,8,288,2
31,8,1017,1
32,8,766,3
33,9,298,1
34,10,427,1
35,10,668,3
36,10,864,3
37,11,913,1
38,11,1119,3
39,11,81,1
40,11,800,3
41,11,908,1
42,11,157,2
43,12,397,2
44,12,257,3
45,12,544,3
46,12,144,3
47,12,770,2
48,12,544,3
49,12,331,2
50,12,279,2
51,13,780,3
52,13,563,3
53,13,1187,3
54,13,1148,3
55,13,816,3
56,13,870,1
57,13,349,2
58,14,280,3
59,14,683,1
60,14,872,2
61,14,148,3
62,14,162,1
63,14,962,1
64,14,315,3
65,14,377,1
66,15,472,1
67,15,153,3
68,15,354,2
69,15,877,3
70,15,383,1
71,15,203,1
72,15,695,1
73,16,913,2
74,17,586,3
75,17,1034,3
76,17,959,1
77,17,652,1
78,17,385,1
79,17,925,2
80,17,750,1
81,18,1135,2
82,18,28,3
83,18,369,2
84,18,1096,1
85,18,1163,2
86,19,705,2
87,19,272,1
88,19,142,1
89,19,307,2
90,19,85,1
91,19,281,3
92,20,1193,2
93,20,735,3
94,20,14,2
95,21,897,2
96,21,834,3
97,21,1166,3
98,21,406,2
99,21,750,3
100,21,515,3
101,22,867,2
102,22,1096,3
103,22,1154,1
104,22,875,2
105,23,522,1
106,23,921,3
107,23,988,2
108,23,719,3
109,23,33,2
110,23,737,2
111,23,291,1
112,23,159,2
113,24,815,2
114,24,801,3
115,24,728,3
116,24,110,3
117,24,315,1
118,25,354,1
119,25,494,1
120,25,1158,3
121,25,1106,1
122,26,1004,1
123,26,310,2
124,27,341,3
125,27,1171,3
126,27,813,2
127,27,925,3
128,27,445,1
129,27,386,1
130,27,753,3
131,27,1100,3
132,28,512,2
133,28,22,3
134,29,461,1
135,29,1053,1
136,29,561,2
137,29,424,3
138,30,662,3
139,30,923,3
140,30,678,1
141,30,1016,2
142,30,570,3
143,31,253,1
144,31,300,2
145,31,942,1
146,31,1107,2
147,32,968,1
148,32,574,3
149,33,10,2
150,33,881,3
151,33,101,2
152,33,1149,2
153,33,822,3
154,33,14,2
155,34,234,2
156,34,669,1
157,34,502,1
158,34,498,3
159,34,693,2
160,34,375,3
161,35,619,3
162,36,1177,2
163,36,622,3
164,37,173,3
165,37,42,1
166,37,214,1
167,37,734,3
168,37,832,1
169,37,1017,2
170,37,895,2
171,38,955,2
172,38,307,3
173,38,461,1
174,39,1108,3
175,40,946,2
176,40,34,3
177,40,986,2
178,40,852,1
179,40,780,2
180,40,131,2
181,41,226,3
182,41,835,3
183,41,202,2
184,41,451,2
185,41,200,2
186,41,609,1
187,41,45,1
188,41,845,1
189,42,184,2
190,42,94,2
191,42,583,3
192,42,2,1
193,42,780,3
194,42,510,3
195,43,119,1
196,43,621,3
197,43,525,2
198,43,546,2
199,43,1124,1
200,43,628,1
201,44,199,3
202,44,789,1
203,44,493,3
204,45,1159,2
205,45,1104,3
206,45,610,3
207,45,964,2
208,45,329,1
209,45,375,2
210,45,75,2
211,46,883,1
212,46,1140,1
213,46,548,1
214,46,809,1
215,46,1091,3
216,46,1062,2
217,46,410,2
218,46,954,2
219,47,1013,1
220,47,133,1
221,47,368,3
222,47,908,3
223,48,112,2
224,48,318,3
225,48,1133,1
226,48,3,2
227,48,95,1
228,48,1181,2
229,48,315,3
230,48,866,3
231,49,618,3
232,49,1194,2
233,49,747,3
234,50,649,3
235,51,1069,3
236,51,867,2
237,51,860,1
238,52,432,3
239,52,344,3
240,52,321,3
241,52,460,3
242,52,732,2
243,52,590,1
244,53,139,1
245,54,156,1
246,54,429,2
247,54,1093,3
248,54,543,3
249,54,171,3
250,55,580,3
251,55,42,1
252,55,930,3
253,55,122,1
254,55,785,2
255,55,220,1
256,56,415,2
257,56,10,3
258,56,527,3
259,56,992,3
260,56,456,1
261,57,72,2
262,57,721,3
263,57,797,2
264,57,854,3
265,57,1151,2
266,58,368,3
267,59,842,1
268,60,1123,2
269,60,922,2
270,60,1183,3
271,60,1146,3
272,60,955,3
273,60,1012,3
274,60,948,3
275,61,603,3
276,61,135,1
277,61,188,3
278,61,217,1
279,61,1014,3
280,61,708,2
281,62,118,2
282,62,255,2
283,62,169,3
284,63,271,1
285,63,427,1
286,64,706,2
287,64,414,2
288,65,423,3
289,65,239,3
290,66,813,3
291,66,239,2
292,66,727,2
293,66,961,3
294,66,1027,3
295,66,111,2
296,66,847,2
297,67,1065,1
298,67,345,1
299,67,499,3
300,67,788,3
301,67,1024,2
302,67,447,2
303,67,781,3
304,68,341,1
305,68,1129,1
306,68,1068,2
307,68,1011,2
308,68,129,3
309,68,833,3
310,68,737,3
311,69,225,1
312,69,1131,1
313,69,785,2
314,69,325,1
315,69,1161,3
316,69,357,3
317,69,845,1
318,69,792,1
319,70,1055,3
320,70,958,1
321,70,352,1
322,70,743,1
323,71,682,1
324,71,44,3
325,71,694,2
326,71,1126,2
327,72,116,1
328,72,1040,2
329,72,991,3
330,72,492,1
331,73,994,1
332,73,487,3
333,73,529,3
334,73,511,1
335,73,982,2
336,73,130,2
337,73,10,3
338,74,896,2
339,74,438,1
340,74,591,2
341,74,670,1
342,75,924,3
343,76,453,2
344,76,249,2
345,76,766,2
346,76,176,1
347,77,220,2
