category_id,category_name,parent_category_id
1,Clothing,
2,Books,
3,Beauty,
4,Electronics,
5,Electronics,
6,Home & Kitchen,
7,Beauty,
8,Clothing,
9,Electronics - Laptops,5
10,Beauty - End Stop,3
11,Electronics - Headphones,4
12,Beauty - Mind Change,3
13,Electronics - TVs,5
14,Clothing - Accessories,1
15,Books - Manage Film,2
16,Beauty - Total Gun,7
17,Beauty - Right Product,3
18,Clothing - Men,8
19,Beauty - Experience Interesting,3
20,Books - Seem Painting,2
21,Books - My About,2
22,Electronics - Headphones,5
23,Beauty - Four Still,7
24,Clothing - Men,8
25,Electronics - TVs,4
26,Beauty - Nice Notice,7
27,Clothing - Women,8
28,Beauty - Western Describe,3
