order_item_id,order_id,product_id,quantity,price
1,1,8,2,495.47
2,1,20,3,233.63
3,1,14,3,88.29
4,1,15,2,116.13
5,2,7,2,85.64
6,2,1,1,483.5
7,2,5,1,124.05
8,2,7,3,85.64
9,2,12,1,246.16
10,3,16,1,76.45
11,3,16,3,76.45
12,3,2,1,138.3
13,4,11,3,99.87
14,4,3,3,10.26
15,5,14,3,88.29
16,5,5,3,124.05
17,5,19,3,148.28
18,5,2,3,138.3
19,5,14,3,88.29
20,6,12,3,246.16
21,6,5,1,124.05
22,7,15,1,116.13
23,7,10,2,268.6
24,7,4,2,284.87
25,8,4,3,284.87
26,9,17,2,154.28
27,9,19,3,148.28
28,9,6,3,271.58
29,9,17,3,154.28
30,9,7,2,85.64
31,10,15,3,116.13
32,10,18,3,368.36
33,10,6,2,271.58
34,10,19,1,148.28
35,11,20,2,233.63
36,11,11,2,99.87
37,11,11,1,99.87
38,11,6,1,271.58
39,12,17,1,154.28
40,12,17,3,154.28
41,12,12,2,246.16
42,13,9,1,269.83
43,13,14,1,88.29
44,14,7,1,85.64
45,14,17,3,154.28
46,14,17,2,154.28
47,14,11,3,99.87
48,15,9,2,269.83
49,15,18,3,368.36
50,15,10,1,268.6
51,15,7,3,85.64
52,15,17,3,154.28
