order_item_id,order_id,product_id,quantity,price
1,1,924,1,436.46
2,1,87,4,87.87
3,1,468,3,486.78
4,1,455,5,51.84
5,1,129,4,408.76
6,2,149,2,386.66
7,2,55,3,243.54
8,2,486,3,99.91
9,2,1146,5,271.69
10,2,966,2,414.89
11,2,885,3,278.59
12,2,1030,1,380.97
13,2,96,4,298.61
14,2,915,5,396.22
15,2,699,3,86.46
16,3,191,3,146.09
17,3,235,4,230.52
18,3,334,5,40.62
19,3,270,2,94.48
20,3,847,4,333.2
21,3,787,1,91.44
22,3,665,2,27.99
23,3,885,5,250.73
24,3,424,2,155.73
25,4,862,2,371.3
26,4,838,1,19.68
27,4,756,4,372.44
28,4,166,4,277.26
29,4,566,5,280.01
30,4,15,5,168.98
31,4,1161,1,20.42
32,4,800,5,131.66
33,4,930,4,306.2
34,5,901,1,28.11
35,5,605,2,377.59
36,5,186,2,442.23
37,5,84,2,430.74
38,5,96,1,298.61
39,5,581,2,432.51
40,5,1196,4,235.0
41,6,112,5,65.44
42,6,816,3,188.71
43,6,586,5,475.8
44,6,215,1,426.8
45,6,683,4,492.33
46,6,869,2,317.47
47,6,410,2,140.36
48,6,545,1,32.0
49,6,540,4,128.4
50,7,483,5,336.92
51,7,489,1,155.85
52,7,284,2,167.74
53,7,1174,5,328.09
54,7,778,2,385.37
55,7,166,4,308.07
56,7,774,2,381.35
57,7,350,5,323.19
58,7,1164,5,190.87
59,8,341,3,460.28
60,9,982,3,84.02
61,9,979,5,311.92
62,9,254,5,230.8
63,9,241,4,230.11
64,9,687,2,70.67
65,9,736,1,52.02
66,9,960,2,69.56
67,9,156,4,324.85
68,10,309,4,124.42
69,10,552,1,445.05
70,11,1105,4,47.93
71,11,1035,3,15.68
72,11,551,3,230.81
73,11,139,3,268.02
74,11,416,5,156.02
75,11,509,1,390.82
76,11,640,2,290.72
77,11,1194,2,27.74
78,11,902,1,22.17
79,11,987,2,397.97
80,12,844,5,5.12
81,12,889,3,146.44
82,12,822,5,85.12
83,12,976,3,211.82
84,12,683,4,492.33
85,13,103,3,31.92
86,13,1024,5,443.09
87,13,551,4,230.81
88,13,400,5,13.51
89,14,419,2,308.08
90,14,465,2,179.15
91,14,893,2,58.0
92,14,376,2,350.87
93,14,674,3,242.88
94,14,1144,1,219.03
95,14,686,2,349.24
96,14,1191,4,41.39
97,14,1095,2,260.12
98,14,179,5,69.78
99,15,466,1,392.13
100,15,1137,4,309.68
101,15,153,5,67.83
102,16,574,5,200.94
103,16,569,1,307.21
104,16,64,5,16.1
105,16,385,2,481.89
106,16,1003,4,108.81
107,17,442,4,168.41
108,17,737,2,188.21
109,17,189,1,151.97
110,17,533,2,419.77
111,17,26,5,492.27
112,17,204,1,214.73
113,17,165,4,41.35
114,18,24,4,315.4
115,18,997,1,74.29
116,18,263,4,194.8
117,18,251,3,282.49
118,18,813,1,339.49
119,18,921,2,346.57
120,18,761,1,282.41
121,18,583,2,416.9
122,18,152,4,300.95
123,19,478,3,214.12
124,19,779,2,318.16
