product_id,name,category_id,brand,price,stock_quantity
21,Team,10,"Bowen, Huffman and Norman",300.44,47
22,Because,9,Russell-Shaw,80.91,53
23,Culture,8,Brown Group,160.85,61
24,White,9,Robertson PLC,358.16,7
25,Everybody,10,"Ortega, Porter and Villa",44.27,29
26,Still,8,Cunningham Ltd,452.81,86
27,Piece,10,"Norris, Mcknight and Boyd",145.75,61
28,You,7,"Werner, Casey and Shaw",92.93,33
29,Series,9,Frazier-Lee,288.95,59
30,Development,10,Lee PLC,119.03,41
31,Present,8,"Ramirez, Rose and Robertson",84.54,22
32,Near,9,"Castaneda, Padilla and Fuentes",213.86,66
33,Doctor,7,Roberts-Stephens,15.42,77
34,Population,8,Lee-Bowman,459.67,38
35,Yard,8,"Lee, Tran and Johnson",427.71,91
36,Activity,6,Adams PLC,492.29,12
37,Loss,7,"Fletcher, Jackson and Sims",402.78,20
38,Tree,7,"Weiss, Sullivan and Jones",114.19,65
39,Deal,8,"Rodriguez, Horton and Huang",332.84,80
40,Behavior,7,Gray-Jackson,485.01,33
