product_id,name,category_id,brand,price,stock_quantity
1,Cloned explicit access,4,Thornton Group,361.07,221
2,Programmable methodical knowledgebase,3,Gilbert PLC,161.78,32
3,Future-proofed local support,3,Anderson and Sons,386.14,670
4,Open-architected value-added customer loyalty,16,Le and Sons,299.22,841
5,Balanced grid-enabled superstructure,4,"Perry, Hall and Dougherty",224.33,771
6,Managed 24hour benchmark,22,Moore-Gray,290.69,165
7,Optional multi-state adapter,11,Martin Ltd,188.27,762
8,Dress,2,Nike,233.27,922
9,Customizable exuding model,16,Walker Group,333.94,953
10,Jacket,21,Levi's,202.29,727
11,Cloned bi-directional matrices,23,Raymond LLC,246.95,279
12,Cross-platform regional orchestration,9,"Jimenez, Cruz and Booker",200.48,998
13,Fundamental mission-critical benchmark,3,"Mcdonald, Austin and Wiley",85.3,714
14,Robust local application,26,"Stephenson, Harris and Lane",444.49,311
15,Grass-roots heuristic alliance,25,"Haynes, Chaney and Morris",101.99,305
16,Virtual static circuit,6,Burke-Gomez,99.9,370
17,Enhanced tangible benchmark,4,"Flores, Carter and Greer",475.06,368
18,Fully-configurable asymmetric encoding,25,"Atkinson, Mathis and Taylor",88.93,481
19,TV Pro,14,LG,69.46,786
20,Persevering modular installation,19,Ross Ltd,237.17,698
21,Smartphone Pro,14,Samsung,456.75,775
22,Enterprise-wide 24hour framework,8,Hunt Inc,298.85,512
23,Jacket,15,Adidas,55.04,361
24,Dress,2,Adidas,468.0,601
25,Cloned dynamic budgetary management,9,"Taylor, Williams and Lopez",487.12,7
26,Total contextually-based attitude,10,"Garcia, Barnett and Gray",87.21,713
27,Inverse national algorithm,10,Edwards LLC,310.48,319
28,Realigned 4thgeneration projection,9,"Guerra, Davis and Robinson",496.29,362
29,Jeans,21,H&M,83.52,194
30,Customer-focused context-sensitive adapter,7,Vance Inc,245.36,777
31,Jacket,2,Levi's,483.36,360
32,Multi-tiered well-modulated throughput,5,Miller and Sons,215.69,191
33,T-Shirt,21,H&M,444.96,330
34,Seamless well-modulated customer loyalty,9,Sawyer and Sons,47.52,459
35,Jacket,20,Adidas,471.96,603
36,Automated tertiary knowledge user,27,"Caldwell, Lynch and Newman",200.14,230
37,Balanced disintermediate portal,5,Higgins LLC,435.27,420
38,Inverse maximized knowledgebase,13,"Collier, Davis and Webb",354.27,595
39,Diverse demand-driven alliance,23,Mullins-Young,189.74,500
40,Right-sized actuating analyzer,11,Phillips-Barber,361.47,414
41,Integrated tangible moderator,11,Coleman PLC,331.32,381
42,Universal 24/7 circuit,4,"Ho, Burgess and Neal",261.28,325
43,Vision-oriented global initiative,6,"Bass, Perry and Barker",343.63,653
44,Sharable didactic open architecture,8,"Russell, Warren and Roth",253.66,472
45,Ameliorated context-sensitive monitoring,11,Flores-Pena,432.65,580
46,Jacket,20,Levi's,43.53,678
47,Front-line disintermediate data-warehouse,22,"Garcia, Adams and Brown",331.77,150
48,Dress,2,Nike,255.03,855
49,Automated dynamic protocol,9,Douglas and Sons,436.47,565
50,Mandatory dynamic focus group,9,Richardson-Reed,18.57,570
51,Customer-focused explicit focus group,19,Ortega-Johns,113.83,285
52,Proactive mission-critical solution,3,Floyd Group,491.12,740
53,Cloned radical circuit,18,Navarro and Sons,382.05,10
54,Cross-platform scalable software,19,"Franco, Berry and Mcneil",282.74,538
55,Managed interactive knowledgebase,22,Haney and Sons,411.87,237
56,Right-sized systematic encoding,17,Hall-Gaines,162.71,211
57,Smartphone Pro,14,Apple,356.63,180
58,Jeans,21,H&M,22.2,672
59,Assimilated executive neural-net,4,"Reeves, Ramirez and Morris",499.35,81
60,Dress,2,H&M,64.98,550
61,Secured logistical product,5,Simpson PLC,330.98,636
62,Open-source bandwidth-monitored synergy,3,Small-Case,191.44,281
63,Profit-focused non-volatile interface,8,Patterson-Kim,201.69,86
64,Exclusive reciprocal definition,16,"Perkins, Randall and Alexander",18.51,207
65,Cloned tangible focus group,19,Drake-Nelson,106.77,826
66,Monitored cohesive collaboration,3,May-Cohen,80.33,15
67,Integrated heuristic flexibility,26,Silva-House,127.27,961
68,Jeans,20,Adidas,336.67,687
69,Front-line national budgetary management,26,"Jenkins, Bennett and Reed",211.72,215
70,Face-to-face heuristic functionalities,5,"Ramirez, Garcia and Greene",230.06,661
71,Organic multi-state monitoring,18,Frederick-Castillo,191.91,553
