review_id,customer_id,product_id,rating,comment,review_date
1,10,14,4,Skill especially voice huge price production.,2025-05-18T14:42:01.314460
2,3,10,1,Deep station everybody air throughout human however.,2025-05-18T14:42:01.314492
3,2,3,2,Reality college well play go choice subject.,2025-05-18T14:42:01.314514
4,10,2,5,Behind term piece family apply.,2025-05-18T14:42:01.314534
5,8,11,5,Among hair court nearly.,2025-05-18T14:42:01.314552
6,6,15,2,Accept note easy listen go thank.,2025-05-18T14:42:01.314572
7,2,9,2,We discussion maintain.,2025-05-18T14:42:01.314591
8,9,9,5,National reflect sense.,2025-05-18T14:42:01.314609
9,7,2,4,Group finish the avoid professor record part.,2025-05-18T14:42:01.314630
10,1,15,5,Paper next fund fire.,2025-05-18T14:42:01.314648
11,1,14,2,Resource prove other challenge want teacher trouble purpose.,2025-05-18T14:42:01.314666
12,2,14,4,Water exist room place.,2025-05-18T14:42:01.314684
13,5,18,2,Deal technology factor why.,2025-05-18T14:42:01.314702
14,7,3,5,Message short his girl travel stage drive hand.,2025-05-18T14:42:01.314721
15,8,12,4,Seven far increase everyone.,2025-05-18T14:42:01.314739
16,1,4,5,Evidence several also marriage.,2025-05-18T14:42:01.314757
17,9,6,3,Actually course unit class.,2025-05-18T14:42:01.314774
18,7,16,5,Theory treat important wear coach as.,2025-05-18T14:42:01.314792
19,10,4,5,Quality store article million beat spend.,2025-05-18T14:42:01.314810
20,6,17,5,Visit mouth trial support notice way others.,2025-05-18T14:42:01.314828
